case,symbol,preferred,ret_pct,dd_pct,entry_fill_pct
limit_entry_market_exit,ETH-USDT,grid,40.41,0.0,100.0
limit_entry_market_exit,BNB-USDT,ga,15.12,2.27,100.0
limit_entry_market_exit,BTC-USDT,ga,7.82,4.63,100.0
limit_entry_market_exit,SOL-USDT,ga,6.58,3.31,100.0
limit_entry_market_exit,STRK-USDT,ga,-0.97,6.71,100.0
limit_entry_market_exit,UNI-USDT,grid,-14.11,14.11,100.0
limit_only_no_fallback,ETH-USDT,ga,13.44,1.18,74.47
limit_only_no_fallback,BNB-USDT,grid,-1.94,8.22,49.33
limit_only_no_fallback,STRK-USDT,ga,0.12,5.46,86.46
limit_only_no_fallback,BTC-USDT,ga,-8.38,8.38,60.56
limit_only_no_fallback,SOL-USDT,grid,-18.24,18.24,66.97
limit_only_no_fallback,UNI-USDT,grid,-29.69,29.69,85.0
market_only,ETH-USDT,grid,36.23,0.0,100.0
market_only,BTC-USDT,grid,13.42,1.33,100.0
market_only,BNB-USDT,ga,14.83,2.96,100.0
market_only,SOL-USDT,ga,9.89,3.21,100.0
market_only,STRK-USDT,grid,-5.27,11.89,100.0
market_only,UNI-USDT,grid,-18.64,18.64,100.0
